Report_ID,Incident_Type,Date,Location,Officer,Summary
RPT_001,Training Proposal,26-May-15,the Benton County Sheriff,Sheriff Kelley,The purpose of obtaining this vehicle is for it to be utilized by the Benton County
RPT_002,Training Proposal,2015/04/10,the Benton County Sheriff,Sheriff Kelley,Equipment request: tactical gear listed
RPT_003,Training Proposal,2015/04/10,Benton County Sheriff,SHERIFF CRADDUCK,PURPOSE:
RPT_004,Training Proposal,2015/04/10,the MRAP must be parked in an area designated by the commander at the Benton County Sheriff,Officer Smith,Equipment request: tactical gear listed
RPT_005,Training Proposal,2015/04/10,Benton Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_006,Request,2015/04/10,Benton Police Department,Chief of,Equipment request: tactical gear listed
RPT_007,Training Proposal,2015/04/10,Personnel who are assigned the responsibility of operating the ARV shall complete training approved by BNPD,Chief of,Equipment request: tactical gear listed
RPT_008,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_009,Application,01-Jul-14,STATE OF ARKANSAS  Commission,Deputy Director,Equipment request: tactical gear listed
RPT_010,Training Proposal,2015/04/10,Bryant Police Department,Chief of,Equipment request: tactical gear listed
RPT_011,Training Proposal,2015/04/10,CABOT POLICE DEPARTMENT,Chief of,Purpose: Mine Resistant Ambush Protected Vehicle (MRAP)
RPT_012,Training Proposal,2015/04/10,Arkansas PD,Chief of,Equipment request: tactical gear listed
RPT_013,Training Proposal,2015/04/10,All documented training on the MRAP will be forwarded to the Team Commander and the Cabot Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_014,Training Proposal,2015/04/10,Cabot Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_015,Training Proposal,29-May-15,Sheriff,Sheriff Marty,Equipment request: tactical gear listed
RPT_016,Training Proposal,2015/04/10,Chief Deputy  Craighead County Sheriff,Chief Deputy,Equipment request: tactical gear listed
RPT_017,Training Proposal,2015/04/10,Craighead County Sheriff,Deputy Randy,Equipment request: tactical gear listed
RPT_018,Training Proposal,2015/04/10,Hours Deputy Sheriff,Deputy Sheriffs,Equipment request: tactical gear listed
RPT_019,Training Proposal,2015/04/10,Craighead County Sheriff,Officer Smith,Purpose: Special Response and Tactics / Operations
RPT_020,Request,2015/04/10,Crawford County Sheriff,Chief Deputy,Equipment request: tactical gear listed
RPT_021,Training Proposal,27-Jan-15,Crawford County Sheriff,Deputy Rick,Equipment request: tactical gear listed
RPT_022,Training Proposal,2015/04/10,MRAP  Crawford County Sheriff,Deputy Rick,Purpose: Special Response and Tactics / Operations
RPT_023,Training Proposal,2015/04/10,Arkansas PD,"Chief

of",Equipment request: tactical gear listed
RPT_024,Training Proposal,19-Jan-15,Fort Smith Police Department,"Officer
LESO",Equipment request: tactical gear listed
RPT_025,Training Proposal,2015/04/10,Fort Smith Police Department,Officer Smith,Purpose: Special Response and Tactics / Operations
RPT_026,Training Proposal,2015/04/10,Arkansas PD,"Chief
of",Equipment request: tactical gear listed
RPT_027,Training Proposal,2015/04/10,Hot Springs Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_028,Training Proposal,2015/04/10,Hot Springs Police Department,officer and,Equipment request: tactical gear listed
RPT_029,Training Proposal,2015/04/10,Hot Springs Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_030,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_031,Training Proposal,2015/04/10,Sheriff,Sheriff Batesville,The purpose of
RPT_032,Training Proposal,14-Jan-15,which was allocated to the Jacksonville AR Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_033,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_034,Training Proposal,13-Jan-15,The Jefferson County Sheriff,Sheriff recognizes,PURPOSE:
RPT_035,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_036,Training Proposal,2015/04/10,LITTLE ROCK POLICE DEPARTMENT,Lieutenant is,Equipment request: tactical gear listed
RPT_037,Training Proposal,2015/04/10,and Rules and Regulations of the Little Rock Police Department,Lieutenant informed,Equipment request: tactical gear listed
RPT_038,Training Proposal,2015/04/10,program in which government property may be obtained for the police department,Officer Smith,Equipment request: tactical gear listed
RPT_039,Request,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_040,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_041,Request,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_042,Training Proposal,5600/12/16,Arkansas PD,Chief of,Equipment request: tactical gear listed
RPT_043,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_044,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_045,Request,2015/04/10,Arkansas PD,Officer Smith,the purpose of
RPT_046,Request,5600/12/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_047,Request,5600/12/11,prescribe general policies to all Police Department,Lieutenant and,The purpose of this section is to provide information and
RPT_048,Request,5600/12/12,Arkansas PD,Officer Smith,The purpose of a special VFR clearance is
RPT_049,Training Proposal,5600/12/13,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_050,Training Proposal,5600/12/14,Arkansas PD,Officer Smith,The purpose of the
RPT_051,Training Proposal,5600/12/15,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_052,Request,5600/12/17,Aviation Unit personnel shall respond to all requests for service made by members of the Police Department,officer will,Equipment request: tactical gear listed
RPT_053,Request,21-May-15,LITTLE ROCK POLICE DEPARTMENT,Chief of,Equipment request: tactical gear listed
RPT_054,Request,17-Jun-14,NY  City of Little Rock  Police Department,Officer Smith,Equipment request: tactical gear listed
RPT_055,Request,2015/04/10,When the Department of Defense Surplus Program started issuing local police and sheriff,Officer Smith,Equipment request: tactical gear listed
RPT_056,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_057,Application,2015/04/10,Arkansas Law,Officer Smith,Equipment request: tactical gear listed
RPT_058,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_059,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_060,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_061,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_062,Request,2015/04/10,LITTLE ROCK POLICE DEPARTMENT,Chief Executive,Equipment request: tactical gear listed
RPT_063,Request,2015/04/10,ARKANSAS zip,Chief Executive,Equipment request: tactical gear listed
RPT_064,Training Proposal,19-Feb-15,LITTLE ROCK POLICE DEPARTMENT,Chief of,Equipment request: tactical gear listed
RPT_065,Request,2015/04/10,The Little Rock Police Department,Chief of,Equipment request: tactical gear listed
RPT_066,Training Proposal,2015/04/10,Lonoke County Sheriff,"Sheriff
To",Equipment request: tactical gear listed
RPT_067,Training Proposal,2015/04/10,Lonoke County Sheriff,"Sheriff
COURSE",Equipment request: tactical gear listed
RPT_068,Training Proposal,2015/04/10,Lonoke County Sheriff,"Sheriff
TRAINEE",Equipment request: tactical gear listed
RPT_069,Training Proposal,17-Dec-14,County of Mississippi State of Arkansas  SHERIFF,"SHERIFF

December",Equipment request: tactical gear listed
RPT_070,Training Proposal,08-Jun-15,Pulaski County  Office of the Sheriff,"Sheriff
Doc",The purpose of the vehicle is for use by the PCSO Special Weapons and Tactics (SWAT) Team in
RPT_071,Training Proposal,2015/04/10,James Ray Arkansas Department,Chief of,Equipment request: tactical gear listed
RPT_072,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_073,Training Proposal,2015/04/10,Arkansas PD,Officer Smith,Equipment request: tactical gear listed
RPT_074,Training Proposal,01-Jun-15,AMERICAN ROAD  SHERIFF,SHERIFF EL,The purpose of this
RPT_075,Training Proposal,2015/04/10,Sheriff,Sheriff Mike,Equipment request: tactical gear listed